Latitude,Longitude,GeoDescription,TreeCanopy,PediatricAsthmaPrevalence,AsthmaPrevalence,LungCancer
40.1206656,-75.1179512,Abington,53.84,9.5,9,76
42.066186,-72.6484627,Agawam,41.37,11.7,6,160
53.2615356,0.174395251,Alford,69.53,0,0,0
45.2332985,-93.2913405,Andover,55.48,11.1,5,79
41.3437229,-70.8147523,Aquinnah,50.51,0,0,0
32.7355816,-97.1071186,Arlington,26.91,8.6,4,150
-33.8894781,151.1274125,Ashfield,73.3,12.3,0,3
41.9438129,-71.2806515,Attleboro,53.32,8.8,8,180
32.6098566,-85.4807825,Auburn,51.97,10.3,7,81
41.6718684,-70.3499234,Barnstable,42.79,7.9,3,201
48.4086571,7.2386756,Belmont,35.83,10.3,4,79
52.5170365,13.3888599,Berlin,64.12,7.7,0,13
42.5584284,-70.8800491,Beverly,45.58,10.4,11,175
42.5584264,-71.268947,Billerica,46.29,8.4,5,192
42.3554334,-71.060511,Boston,16.96,16.8,10,1751
42.2205956,-71.0041229,Braintree,39.57,12.3,9,154
42.0834335,-71.0183787,Brockton,34.72,15.1,16,387
41.8228378,-87.848085,Brookfield,68.29,12.9,0,28
42.3317642,-71.1211635,Brookline,39.9,7.2,2,121
51.8027259,-0.7136715,Buckland,74.55,5.3,0,6
44.4761601,-73.212906,Burlington,41.68,12.9,7,99
52.19758465,0.139153737,Cambridge,16.21,11.5,5,210
51.7345329,0.4730532,Chelmsford,44.91,15.5,5,131
51.4875167,-0.1687007,Chelsea,5.38,10.5,19,117
53.2141028,-2.471770086,Cheshire,66.93,9.2,0,18
53.1908873,-2.8908955,Chester,80.1,NS,0,6
38.661953,-90.5643258,Chesterfield,77.94,22.4,0,3
42.1487691,-72.6071119,Chicopee,27.43,17.9,12,271
41.3431688,-70.7447501,Chilmark,54.72,0,0,ns
39.2806451,-80.3445341,Clarksburg,76.28,8.5,0,9
38.5896187,-89.420064,Clinton,43.73,7.8,8,60
35.2521996,-92.6888936,Conway,77.16,8.9,0,4
42.566751,-70.9368313,Danvers,33.84,10,9,129
50.3514839,-3.583844,Dartmouth,56.8,17.5,6,122
41.9063152,-94.8222082,Dedham,43.62,11.5,8,130
42.6818928,-71.2963726,Dracut,43.39,17.9,8,156
42.0334341,-70.9592096,East Bridgewater,57.96,7,12,46
42.226196,-72.0498162,East Brookfield,62.06,12.4,0,12
41.8301081,-69.973907,Eastham,28.89,10.9,0,42
42.2689274,-72.6688036,Easthampton,49.02,8.9,11,69
40.6916081,-75.2099866,Easton,63.95,13.5,7,86
54.4838316,-3.5327921,Egremont,64.62,NS,0,ns
42.6148844,-72.4315297,Erving,82.88,12.2,0,8
47.9673056,-122.201399,Everett,5.11,9.8,7,141
41.6376043,-70.9036487,Fairhaven,38.58,12,8,75
41.7010642,-71.1546367,Fall River,54.05,17.7,13,458
50.1552197,-5.0688262,Falmouth,50.17,15.8,4,192
42.5903661,-71.8119837,Fitchburg,56.31,16.7,15,162
27.7567667,-81.4639835,Florida,78.97,NS,0,ns
42.0653768,-71.2478308,Foxborough,59.89,14.8,7,76
42.3095704,-71.4413097,Framingham,45.05,12,4,225
42.5823564,-71.9831716,Gardner,60.14,17.5,6,113
6.8137426,-58.1624465,Georgetown,64.58,7.9,12,18
44.5612668,-123.2805799,Gill,63.07,6.9,0,13
51.8653705,-2.2458192,Gloucester,54.39,9.6,4,185
41.5824086,-85.834366,Goshen,77.15,22.2,0,ns
41.4211499,-70.9288774,Gosnold,36.87,0,0,0
43.9702453,-71.8742626,Grafton,54.53,10.9,6,62
48.8376284,-1.5959213,Granville,79.63,4.9,0,7
42.5876342,-72.6002068,Greenfield,52.88,12.6,12,83
40.3941712,-91.1458063,Hancock,79.11,NS,0,ns
42.36790855,-71.12678237,Harvard,62.19,7.2,0,13
51.7634675,-0.2258741,Hatfield,46.83,11.6,0,17
42.7777829,-71.0767724,Haverhill,47.75,15.5,7,249
32.6133723,-99.8130377,Hawley,80.23,0,0,ns
32.8365147,-96.474987,Heath,75.2,NS,0,ns
42.2417669,-70.8897676,Hingham,59.72,9.2,6,74
42.2071434,-72.60765,Holyoke,54.71,19.9,29,142
43.0922552,-84.8422239,Hubbardston,75.04,5.1,0,15
40.7381635,-74.0550731,Hudson,48.52,15.3,8,68
38.4192496,-82.445154,Huntington,77.04,8.5,0,12
52.0579495,1.1526345,Ipswich,41.92,8.6,15,46
44.650051,-93.2432791,Lakeville,62.94,9.4,11,35
42.5370488,-73.2431478,Lanesborough,69.91,10.1,0,11
38.9719384,-95.2359496,Lawrence,14.62,16.6,17,194
30.3031353,-96.9588587,Lee,65.13,10,0,42
40.8812978,-94.5588947,Lenox,66.99,9.2,0,27
42.5267443,-71.7614891,Leominster,55.53,13.2,10,170
42.473731,-72.4870907,Leverett,80.04,20.1,0,9
43.5339571,-75.378872,Leyden,74.6,NS,0,ns
42.6334247,-71.3161718,Lowell,22.22,15.3,12,363
52.3679896,-2.7193114,Ludlow,58.46,12.2,5,67
33.1474257,-101.812592,Lynn,27.41,12.3,13,376
42.4250964,-71.066163,Malden,15.74,10.9,8,214
40.75839,-82.5154471,Mansfield,56.9,15.8,8,65
42.500096,-70.8578253,Marblehead,33.98,7.5,8,67
42.3459271,-71.5522874,Marlborough,49.02,13.7,7,132
44.6688524,-90.1717987,Marshfield,51.9,9.1,6,120
42.4184296,-71.1061639,Medford,29.89,9.5,5,246
42.4564323,-71.064182,Melrose,35.93,10.6,4,101
42.7262016,-71.1908924,Methuen,39.76,7.6,6,234
41.8931576,-70.9111517,Middleborough,62.71,12.9,6,146
41.5165161,-72.7120793,Middlefield,78.14,NS,0,ns
41.2222218,-73.0570603,Milford,49.35,6,7,121
38.2722313,-90.1792484,Monroe,82.49,0,0,0
36.2231079,-121.387742,Monterey,78.66,NS,0,ns
32.3669656,-86.3006485,Montgomery,79.32,NS,0,0
44.2704946,-71.3033045,Mount Washington,84.25,NS,0,0
42.4264859,-70.9189371,Nahant,18.82,9.3,0,20
42.2836393,-71.346996,Natick,47.09,8.9,7,109
42.60753,-73.2315036,New Ashford,80.62,0,0,0
41.6362152,-70.934205,New Bedford,31.8,18.2,17,460
42.1053708,-73.2423092,New Marlborough,74.46,NS,0,4
39.7075473,-90.8476304,New Salem,81.58,9.9,0,ns
30.8118989,-93.740504,Newton,39.88,10.9,3,261
42.6839894,-71.1127065,North Andover,57.46,9.3,4,86
41.9834324,-71.3328328,North Attleborough,50.37,13.7,7,80
52.23433665,-0.902807277,Northampton,58.68,18.1,5,88
52.6592107,-0.2985578,Northborough,57.98,7.5,10,43
42.1324443,-71.6498211,Northbridge,61.5,6.7,6,57
40.7055931,-89.6987129,Norwood,34.13,13,6,151
41.4538523,-70.5684713,Oak Bluffs,40.42,7.8,0,21
52.66666035,-0.74996764,Oakham,75.41,6.5,0,8
47.9027336,1.9086066,Orleans,33.83,4.5,0,28
41.71546145,-72.79881107,Otis,77.51,17.7,0,10
51.7520131,-1.2578499,Oxford,60.56,9,9,53
42.5278731,-70.9286609,Peabody,31.76,6.2,6,277
33.285669,-86.8099884,Pelham,84.05,13.7,0,4
-6.8699697,-75.0458515,Peru,78.1,NS,0,0
42.5506002,-72.145014,Phillipston,78.71,13.1,0,4
42.451302,-73.260018,Pittsfield,51.22,14.4,5,249
41.6086711,-88.2054345,Plainfield,75.66,NS,0,ns
50.3712659,-4.1425658,Plymouth,54.05,10.6,5,275
42.0525612,-70.1858639,Provincetown,16.31,NS,0,22
42.2509914,-71.0037374,Quincy,32.49,8.3,5,479
38.0472916,-89.8107962,Randolph,42.51,16.4,9,96
42.4084302,-71.0119948,Revere,8.53,8.5,8,277
41.1519319,-74.0357266,Rockland,51.99,10.8,9,82
44.9391565,-123.033121,Salem,28.9,12.2,9,166
42.1131485,-73.1299243,Sandisfield,79.82,NS,0,ns
42.4648183,-71.010051,Saugus,34.71,13.2,9,156
45.49489515,6.384660381,Savoy,78.61,NS,0,ns
53.3806626,-1.4702278,Sheffield,64.31,8.7,0,19
44.3783486,-73.2276183,Shelburne,68.84,18.6,0,11
42.2397842,-71.3701417,Sherborn,68.82,11.4,0,10
52.707755,-2.7540658,Shrewsbury,49.91,9.4,4,120
51.16175085,-3.075386706,Somerset,30.5,14.1,7,94
42.3875968,-71.0994968,Somerville,6.25,10.6,5,221
42.0641046,-72.0304472,Southbridge,67.12,26.9,23,76
39.7990175,-89.6439575,Springfield,30.75,16.6,19,491
33.5442781,-84.2338093,Stockbridge,67.41,NS,0,4
42.4802635,-71.0993581,Stoneham,39.33,10,6,95
42.9167389,-89.2178997,Stoughton,52.83,15.7,9,120
51.6195955,-3.9459248,Swansea,53.28,16.8,7,79
51.0147895,-3.1029086,Taunton,55.97,14.2,7,258
42.6106479,-71.2342248,Tewksbury,43.44,12,5,153
41.818446,-72.3562252,Tolland,81.26,0,0,ns
50.2633173,-5.0518107,Truro,50.88,9.2,0,9
52.115183,-0.7503328,Tyringham,76.72,NS,0,ns
52.2928116,-3.73893,Wales,80.71,18.6,0,5
42.3756401,-71.2358004,Waltham,32.95,10.2,6,207
50.6868972,-2.1098377,Wareham,44,9.9,11,207
52.2814519,-1.5815742,Warwick,83.24,NS,0,ns
38.8950368,-77.0365427,Washington,78.85,NS,0,ns
42.3709299,-71.1828321,Watertown,18.1,7.3,5,112
32.050618,-84.5473105,Webster,56.29,12.1,12,108
46.035516,-96.101169,Wendell,82.88,NS,0,7
42.105237,-72.6213712,West Springfield,44.22,10.1,8,136
42.3044517,-73.3925772,West Stockbridge,71.56,12.7,0,8
42.1390327,-72.7584859,Westfield,48.56,9.9,4,167
50.6096257,-2.4543424,Weymouth,40.49,11.4,11,288
42.4369478,-72.6415173,Whately,62.56,NS,0,3
46.9428831,-117.5286172,Whitman,48.68,9.1,12,68
38.6381245,-84.5604977,Williamstown,68.95,5.2,0,21
51.0612766,-1.3131692,Winchester,45.63,9.9,5,63
51.48375775,-0.604096404,Windsor,75.36,NS,0,ns
42.4792618,-71.1522766,Woburn,29.68,9,8,189
42.2625621,-71.8018877,Worcester,33.75,14.8,13,683
43.6205056,-95.5956434,Worthington,74.78,NS,0,7
